corner,temp_c,status,target_vgin_v,id_ma,power_mw,cascode_v,worst_s11_ism_db,min_s21_ism_db,worst_s22_ism_db,min_k_ism,min_k_wide,max_delta_wide
mos_tt,-20,PASS,0.577500,2.000076,2.400091,0.332113,-11.168862,16.552479,-10.142589,2.672036,2.589845,0.998793
mos_tt,27,PASS,0.550000,2.000574,2.400689,0.357906,-11.242968,16.185130,-9.626778,2.526663,2.467283,0.998787
mos_tt,85,PASS,0.515000,2.022756,2.427307,0.389463,-11.349926,15.717467,-9.087826,2.399127,2.360112,0.998779
mos_ss,-20,PASS,0.635000,2.011263,2.413516,0.282593,-10.333376,16.928963,-11.377098,2.900878,2.796575,0.998792
mos_ss,27,PASS,0.610000,1.988234,2.385881,0.306976,-10.484458,16.502660,-10.747967,2.746428,2.671712,0.998783
mos_ss,85,PASS,0.577500,1.990973,2.389168,0.337647,-10.650761,15.967117,-10.078686,2.604239,2.555619,0.998774
mos_ff,-20,PASS,0.517500,2.022557,2.427068,0.381535,-11.544295,16.475874,-9.431669,2.540642,2.463231,0.998799
mos_ff,27,PASS,0.487500,1.981431,2.377717,0.408706,-11.693725,16.066713,-9.003077,2.420788,2.365360,0.998790
mos_ff,85,PASS,0.452500,2.025251,2.430301,0.439370,-11.771828,15.636756,-8.503149,2.294562,2.257801,0.998783
mos_sf,-20,PASS,0.607500,2.029372,2.435246,0.306392,-10.725430,16.779331,-10.732421,2.772317,2.678796,0.998794
mos_sf,27,PASS,0.580000,1.987643,2.385172,0.332547,-10.886129,16.341738,-10.178809,2.634868,2.568347,0.998784
mos_sf,85,PASS,0.545000,1.973886,2.368663,0.364671,-11.050227,15.808197,-9.602368,2.509652,2.466637,0.998775
mos_fs,-20,PASS,0.547500,2.010316,2.412379,0.356828,-11.376796,16.517744,-9.786210,2.604795,2.524938,0.998796
mos_fs,27,PASS,0.520000,2.020746,2.424895,0.382289,-11.434706,16.166557,-9.292970,2.461514,2.403495,0.998790
mos_fs,85,PASS,0.482500,1.995785,2.394942,0.415404,-11.620177,15.648624,-8.819265,2.354714,2.317165,0.998780
