 frequency       frequency       NF_dB           inoise_spectrum onoise_spectrum
 1.00000000e+08  1.00000000e+08  1.14635620e+01  3.40724932e-09  9.85953533e-12
 1.01157945e+08  1.01157945e+08  1.13748380e+01  3.37262233e-09  9.98568996e-12
 1.02329299e+08  1.02329299e+08  1.12863432e+01  3.33843536e-09  1.01137031e-11
 1.03514217e+08  1.03514217e+08  1.11980816e+01  3.30468367e-09  1.02436092e-11
 1.04712855e+08  1.04712855e+08  1.11100574e+01  3.27136261e-09  1.03754431e-11
 1.05925373e+08  1.05925373e+08  1.10222748e+01  3.23846756e-09  1.05092409e-11
 1.07151931e+08  1.07151931e+08  1.09347377e+01  3.20599396e-09  1.06450393e-11
 1.08392691e+08  1.08392691e+08  1.08474506e+01  3.17393729e-09  1.07828758e-11
 1.09647820e+08  1.09647820e+08  1.07604176e+01  3.14229310e-09  1.09227888e-11
 1.10917482e+08  1.10917482e+08  1.06736430e+01  3.11105697e-09  1.10648177e-11
 1.12201845e+08  1.12201845e+08  1.05871313e+01  3.08022454e-09  1.12090027e-11
 1.13501082e+08  1.13501082e+08  1.05008867e+01  3.04979148e-09  1.13553850e-11
 1.14815362e+08  1.14815362e+08  1.04149137e+01  3.01975353e-09  1.15040066e-11
 1.16144861e+08  1.16144861e+08  1.03292167e+01  2.99010645e-09  1.16549107e-11
 1.17489755e+08  1.17489755e+08  1.02438004e+01  2.96084608e-09  1.18081414e-11
 1.18850223e+08  1.18850223e+08  1.01586691e+01  2.93196827e-09  1.19637437e-11
 1.20226443e+08  1.20226443e+08  1.00738274e+01  2.90346894e-09  1.21217639e-11
 1.21618600e+08  1.21618600e+08  9.98928002e+00  2.87534403e-09  1.22822492e-11
 1.23026877e+08  1.23026877e+08  9.90503150e+00  2.84758953e-09  1.24452479e-11
 1.24451461e+08  1.24451461e+08  9.82108652e+00  2.82020150e-09  1.26108096e-11
 1.25892541e+08  1.25892541e+08  9.73744977e+00  2.79317600e-09  1.27789849e-11
 1.27350308e+08  1.27350308e+08  9.65412596e+00  2.76650915e-09  1.29498255e-11
 1.28824955e+08  1.28824955e+08  9.57111983e+00  2.74019711e-09  1.31233846e-11
 1.30316678e+08  1.30316678e+08  9.48843614e+00  2.71423608e-09  1.32997164e-11
 1.31825674e+08  1.31825674e+08  9.40607967e+00  2.68862230e-09  1.34788764e-11
 1.33352143e+08  1.33352143e+08  9.32405523e+00  2.66335204e-09  1.36609215e-11
 1.34896288e+08  1.34896288e+08  9.24236764e+00  2.63842161e-09  1.38459099e-11
 1.36458314e+08  1.36458314e+08  9.16102173e+00  2.61382736e-09  1.40339011e-11
 1.38038426e+08  1.38038426e+08  9.08002234e+00  2.58956568e-09  1.42249560e-11
 1.39636836e+08  1.39636836e+08  8.99937433e+00  2.56563298e-09  1.44191371e-11
 1.41253754e+08  1.41253754e+08  8.91908258e+00  2.54202573e-09  1.46165080e-11
 1.42889396e+08  1.42889396e+08  8.83915194e+00  2.51874041e-09  1.48171341e-11
 1.44543977e+08  1.44543977e+08  8.75958730e+00  2.49577355e-09  1.50210822e-11
 1.46217717e+08  1.46217717e+08  8.68039353e+00  2.47312171e-09  1.52284206e-11
 1.47910839e+08  1.47910839e+08  8.60157550e+00  2.45078147e-09  1.54392195e-11
 1.49623566e+08  1.49623566e+08  8.52313808e+00  2.42874946e-09  1.56535503e-11
 1.51356125e+08  1.51356125e+08  8.44508613e+00  2.40702233e-09  1.58714863e-11
 1.53108746e+08  1.53108746e+08  8.36742451e+00  2.38559677e-09  1.60931025e-11
 1.54881662e+08  1.54881662e+08  8.29015805e+00  2.36446949e-09  1.63184755e-11
 1.56675107e+08  1.56675107e+08  8.21329156e+00  2.34363725e-09  1.65476839e-11
 1.58489319e+08  1.58489319e+08  8.13682986e+00  2.32309680e-09  1.67808080e-11
 1.60324539e+08  1.60324539e+08  8.06077773e+00  2.30284496e-09  1.70179297e-11
 1.62181010e+08  1.62181010e+08  7.98513990e+00  2.28287855e-09  1.72591333e-11
 1.64058977e+08  1.64058977e+08  7.90992112e+00  2.26319445e-09  1.75045046e-11
 1.65958691e+08  1.65958691e+08  7.83512607e+00  2.24378953e-09  1.77541316e-11
 1.67880402e+08  1.67880402e+08  7.76075941e+00  2.22466070e-09  1.80081041e-11
 1.69824365e+08  1.69824365e+08  7.68682575e+00  2.20580492e-09  1.82665143e-11
 1.71790839e+08  1.71790839e+08  7.61332969e+00  2.18721914e-09  1.85294561e-11
 1.73780083e+08  1.73780083e+08  7.54027573e+00  2.16890035e-09  1.87970257e-11
 1.75792361e+08  1.75792361e+08  7.46766837e+00  2.15084558e-09  1.90693217e-11
 1.77827941e+08  1.77827941e+08  7.39551204e+00  2.13305186e-09  1.93464445e-11
 1.79887092e+08  1.79887092e+08  7.32381110e+00  2.11551626e-09  1.96284970e-11
 1.81970086e+08  1.81970086e+08  7.25256987e+00  2.09823587e-09  1.99155845e-11
 1.84077200e+08  1.84077200e+08  7.18179259e+00  2.08120779e-09  2.02078145e-11
 1.86208714e+08  1.86208714e+08  7.11148345e+00  2.06442916e-09  2.05052969e-11
 1.88364909e+08  1.88364909e+08  7.04164655e+00  2.04789715e-09  2.08081440e-11
 1.90546072e+08  1.90546072e+08  6.97228594e+00  2.03160892e-09  2.11164709e-11
 1.92752491e+08  1.92752491e+08  6.90340557e+00  2.01556167e-09  2.14303947e-11
 1.94984460e+08  1.94984460e+08  6.83500932e+00  1.99975264e-09  2.17500357e-11
 1.97242274e+08  1.97242274e+08  6.76710098e+00  1.98417906e-09  2.20755163e-11
 1.99526231e+08  1.99526231e+08  6.69968424e+00  1.96883819e-09  2.24069618e-11
 2.01836636e+08  2.01836636e+08  6.63276272e+00  1.95372732e-09  2.27445003e-11
 2.04173794e+08  2.04173794e+08  6.56633994e+00  1.93884375e-09  2.30882626e-11
 2.06538016e+08  2.06538016e+08  6.50041930e+00  1.92418479e-09  2.34383821e-11
 2.08929613e+08  2.08929613e+08  6.43500413e+00  1.90974780e-09  2.37949955e-11
 2.11348904e+08  2.11348904e+08  6.37009761e+00  1.89553014e-09  2.41582421e-11
 2.13796209e+08  2.13796209e+08  6.30570285e+00  1.88152917e-09  2.45282641e-11
 2.16271852e+08  2.16271852e+08  6.24182283e+00  1.86774230e-09  2.49052071e-11
 2.18776162e+08  2.18776162e+08  6.17846041e+00  1.85416694e-09  2.52892193e-11
 2.21309471e+08  2.21309471e+08  6.11561835e+00  1.84080053e-09  2.56804523e-11
 2.23872114e+08  2.23872114e+08  6.05329925e+00  1.82764051e-09  2.60790608e-11
 2.26464431e+08  2.26464431e+08  5.99150563e+00  1.81468435e-09  2.64852027e-11
 2.29086765e+08  2.29086765e+08  5.93023985e+00  1.80192954e-09  2.68990391e-11
 2.31739465e+08  2.31739465e+08  5.86950415e+00  1.78937358e-09  2.73207346e-11
 2.34422882e+08  2.34422882e+08  5.80930063e+00  1.77701398e-09  2.77504568e-11
 2.37137371e+08  2.37137371e+08  5.74963126e+00  1.76484828e-09  2.81883770e-11
 2.39883292e+08  2.39883292e+08  5.69049786e+00  1.75287403e-09  2.86346699e-11
 2.42661010e+08  2.42661010e+08  5.63190213e+00  1.74108879e-09  2.90895137e-11
 2.45470892e+08  2.45470892e+08  5.57384561e+00  1.72949015e-09  2.95530900e-11
 2.48313311e+08  2.48313311e+08  5.51632969e+00  1.71807571e-09  3.00255843e-11
 2.51188643e+08  2.51188643e+08  5.45935561e+00  1.70684307e-09  3.05071856e-11
 2.54097271e+08  2.54097271e+08  5.40292448e+00  1.69578987e-09  3.09980864e-11
 2.57039578e+08  2.57039578e+08  5.34703725e+00  1.68491375e-09  3.14984833e-11
 2.60015956e+08  2.60015956e+08  5.29169470e+00  1.67421238e-09  3.20085764e-11
 2.63026799e+08  2.63026799e+08  5.23689747e+00  1.66368341e-09  3.25285699e-11
 2.66072506e+08  2.66072506e+08  5.18264605e+00  1.65332455e-09  3.30586718e-11
 2.69153480e+08  2.69153480e+08  5.12894076e+00  1.64313350e-09  3.35990938e-11
 2.72270131e+08  2.72270131e+08  5.07578176e+00  1.63310798e-09  3.41500521e-11
 2.75422870e+08  2.75422870e+08  5.02316905e+00  1.62324572e-09  3.47117664e-11
 2.78612117e+08  2.78612117e+08  4.97110249e+00  1.61354446e-09  3.52844608e-11
 2.81838293e+08  2.81838293e+08  4.91958176e+00  1.60400198e-09  3.58683636e-11
 2.85101827e+08  2.85101827e+08  4.86860637e+00  1.59461605e-09  3.64637069e-11
 2.88403150e+08  2.88403150e+08  4.81817570e+00  1.58538446e-09  3.70707273e-11
 2.91742701e+08  2.91742701e+08  4.76828895e+00  1.57630503e-09  3.76896657e-11
 2.95120923e+08  2.95120923e+08  4.71894514e+00  1.56737556e-09  3.83207671e-11
 2.98538262e+08  2.98538262e+08  4.67014315e+00  1.55859389e-09  3.89642811e-11
 3.01995172e+08  3.01995172e+08  4.62188171e+00  1.54995789e-09  3.96204615e-11
 3.05492111e+08  3.05492111e+08  4.57415937e+00  1.54146540e-09  4.02895666e-11
 3.09029543e+08  3.09029543e+08  4.52697452e+00  1.53311432e-09  4.09718592e-11
 3.12607937e+08  3.12607937e+08  4.48032540e+00  1.52490252e-09  4.16676067e-11
 3.16227766e+08  3.16227766e+08  4.43421008e+00  1.51682793e-09  4.23770808e-11
 3.19889511e+08  3.19889511e+08  4.38862650e+00  1.50888846e-09  4.31005582e-11
 3.23593657e+08  3.23593657e+08  4.34357240e+00  1.50108205e-09  4.38383199e-11
 3.27340695e+08  3.27340695e+08  4.29904540e+00  1.49340666e-09  4.45906517e-11
 3.31131121e+08  3.31131121e+08  4.25504296e+00  1.48586024e-09  4.53578442e-11
 3.34965439e+08  3.34965439e+08  4.21156238e+00  1.47844078e-09  4.61401928e-11
 3.38844156e+08  3.38844156e+08  4.16860083e+00  1.47114627e-09  4.69379975e-11
 3.42767787e+08  3.42767787e+08  4.12615531e+00  1.46397472e-09  4.77515633e-11
 3.46736850e+08  3.46736850e+08  4.08422267e+00  1.45692416e-09  4.85812000e-11
 3.50751874e+08  3.50751874e+08  4.04279965e+00  1.44999263e-09  4.94272225e-11
 3.54813389e+08  3.54813389e+08  4.00188283e+00  1.44317818e-09  5.02899504e-11
 3.58921935e+08  3.58921935e+08  3.96146863e+00  1.43647888e-09  5.11697085e-11
 3.63078055e+08  3.63078055e+08  3.92155338e+00  1.42989281e-09  5.20668265e-11
