pin_dbm,pout_fund_dbm,pout_dbm,gain_fund_db
-40,-20.83180000,-20.84590000,19.16820000
-38,-18.83550000,-18.84890000,19.16450000
-36,-16.84080000,-16.85340000,19.15920000
-34,-14.84790000,-14.86050000,19.15210000
-32,-12.85870000,-12.87180000,19.14130000
-30,-10.87680000,-10.89130000,19.12320000
-28,-8.93823000,-8.95325000,19.06177000
-26,-7.29542000,-7.31537000,18.70458000
-24,-6.16390000,-6.18799000,17.83610000
-22,-5.29554000,-5.31702000,16.70446000
-20,-4.54512000,-4.55997000,15.45488000
-18,-3.87240000,-3.88178000,14.12760000
-16,-3.28840000,-3.29803000,12.71160000
-14,-2.84994000,-2.85999000,11.15006000
-12,-2.58697000,-2.59263000,9.41303000
-10,-2.39339000,-2.38990000,7.60661000
-8,-2.21217000,-2.19969000,5.78783000
-6,-2.02833000,-2.00828000,3.97167000
-4,-1.82986000,-1.80398000,2.17014000
