pin_dbm,pout_fund_dbm,pout_dbm,gain_fund_db,compression_db
-26.00000000,-7.29542000,-7.31537000,18.70458000,0.45938667
-25.75000000,-7.12843000,-7.14995000,18.62157000,0.54239667
-25.50000000,-6.97064000,-6.99315000,18.52936000,0.63460667
-25.25000000,-6.82283000,-6.84522000,18.42717000,0.73679667
-25.00000000,-6.67975000,-6.70244000,18.32025000,0.84371667
-24.75000000,-6.54257000,-6.56648000,18.20743000,0.95653667
-24.50000000,-6.41243000,-6.43638000,18.08757000,1.07639667
-24.25000000,-6.28545000,-6.30964000,17.96455000,1.19941667
-24.00000000,-6.16390000,-6.18799000,17.83610000,1.32786667
-23.75000000,-6.04599000,-6.07003000,17.70401000,1.45995667
-23.50000000,-5.93044000,-5.95480000,17.56956000,1.59440667
-23.25000000,-5.81900000,-5.84282000,17.43100000,1.73296667
-23.00000000,-5.70979000,-5.73335000,17.29021000,1.87375667
